Parties,,,,,,,,,,,,,
,Conservative,Liberal,NDP,Green,Bloc Quebecois,Social Credit,Independent,Other,Parti Acadien,Reform,Progressive Democrat,Unity,Marijuana
,Con,Lib,NDP,Green,BQ,SoCred,Ind,Other,PA,Reform,ProgDem,Unity,MJ
,blue,red,orange,lightgreen,lightblue,green,black,purple,grey,#00BFFF,#AA99CC,#48d1cc,#D2B48C
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Canadian Federal Election 1979,,,,,,,,,,,,,
,1,1,1,,,1,,1,,,,,
,136,119,26,,,6,,0,,,,,
,4111606,4595319,2048988,,,527604,,173491,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Canadian Federal Election 2011,,,,,,,,,,,,,
,1,1,1,1,1,,1,1,,,,,
,166,34,103,1,4,,0,0,,,,,
,5832401,2783175,4508474,576221,889788,,72731,57790,,,,,
,,,,,,,,,,,,,
Canadian Federal Election 2015 (Unofficial),,,,,,,,,,,,,
,1,1,1,1,1,,1,1,,,,,
,99,184,44,1,10,,0,0,,,,,
,5600496,6930136,3461262,605684,818652,,49905,93038,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
New Brunswick Provincial Election 2006,,,,,,,,,,,,,
,1,1,1,,,,1,,,,,,
,26,29,0,,,,0,,,,,,
,177774,176410,19212,,,,935,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
New Brunswick Provincial Election 1987,,,,,,,,,,,,,
,1,1,1,,,,1,,,,,,
,0,58,0,,,,0,,,,,,
,116798,246702,43033,,,,1933,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
New Brunswick Provincial Election 1974,,,,,,,,,,,,,
,1,1,1,,,,1,,1,,,,
,33,25,0,,,,0,,0,,,,
,145304,147372,9092,,,,4723,,3607,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Canadian Federal Election 2008,,,,,s,,,,,,,,
,1,1,1,1,1,,1,1,,,,,
,143,77,37,0,49,,2,0,,,,,
,5209069,3633185,2515288,937613,1379991,,94844,64304,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Alberta Provincial Election 1979,,,,,,,,,,,,,
,1,1,1,,,1,,1,,,,,
,74,0,1,,,4,,0,,,,,
,408097,43792,111984,,,141284,,5803,,,,,
,,,,,,,,,,,,,
British Columbia Provincial Election 1996,,,,,,,,,,,,,
,,1,1,1,,,1,1,,1,1,,
,,33,39,0,,,0,0,,2,0,,
,,661929,624395,31511,,,10067,17271,,146734,90797,,
,,,,,,,,,,,,,
British Columbia Provincial Election 2001,,,,,,,,,,,,,
,,1,1,1,,,1,1,,,,1,1
,,77,2,0,,,0,0,,,,0,0
,,916888,343156,197231,,,14588,16811,,,,51426,51206
