Parties,,,,,,,,,
,Conservative,Liberal,NDP,Green,Bloc Quebecois,Social Credit,Independent,Other,Parti Acadien
,Con,Lib,NDP,Green,BQ,SoCred,Ind,Other,PA
,blue,red,orange,lightgreen,lightblue,green,black,purple,grey
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Canadian Federal Election 1979,,,,,,,,,
,1,1,1,,,1,,1,
,136,119,26,,,6,,0,
,4111606,4595319,2048988,,,527604,,173491,
,,,,,,,,,
,,,,,,,,,
Canadian Federal Election 2011,,,,,,,,,
,1,1,1,1,1,,1,1,
,166,34,103,1,4,,0,0,
,5832401,2783175,4508474,576221,889788,,72731,57790,
,,,,,,,,,
,,,,,,,,,
New Brunswick Provincial Election 2006,,,,,,,,,
,1,1,1,,,,1,,
,26,29,0,,,,0,,
,177774,176410,19212,,,,935,,
,,,,,,,,,
,,,,,,,,,
New Brunswick Provincial Election 1987,,,,,,,,,
,1,1,1,,,,1,,
,0,58,0,,,,0,,
,116798,246702,43033,,,,1933,,
,,,,,,,,,
,,,,,,,,,
New Brunswick Provincial Election 1974,,,,,,,,,
,1,1,1,,,,1,,1
,33,25,0,,,,0,,0
,145304,147372,9092,,,,4723,,3607
,,,,,,,,,
,,,,,,,,,
Canadian Federal Election 2008,,,,,s,,,,
,1,1,1,1,1,,1,1,
,143,77,37,0,49,,2,0,
,5209069,3633185,2515288,937613,1379991,,94844,64304,
