Parties,,,,,,,,,,,,,,,
,National,Labour,Social Credit,Values,Green,New Zealand First,Independent,Other,Mana Motuhake,Alliance,ACT,United New Zealand,United Future,Progressive,Maori
,National,Labour,SoCred,Values,Green,NZ First,Ind,Other,MM,Alliance,ACT,United,UF,Prog,Maori
,blue,red,yellow,green,green,black,black,purple,#c32148,lightgreen,yellow,#501557,#501557,#9e9e9e,#ef4a42
,,,,,,,,,,,,,,,
New Zealand 2014,,,,,,,,,,,,,,,
,1,1,,,1,1,,1,,,1,,1,,1
,41,27,,,0,0,,0,,,1,,1,,1
,19,5,,,14,11,,0,,,0,,0,,1
,1131501,604534,,,257356,208300,,150104,,,16689,,5286,,31850
,,,,,,,,,,,,,,,
New Zealand 2011,,,,,,,,,,,,,,,
,1,1,,,1,1,,1,1,,1,,1,,1
42,42,22,,,0,0,,0,1,,1,,1,,3
,17,12,,,14,8,,0,0,,0,,0,,0
,1058636,614937,,,247372,147544,,75493,24168,,23889,,13443,,31982
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
New Zealand 1996,,,,,,,,,,,,,,,
,1,1,,,,1,,1,,1,1,1,,,
,30,26,,,,6,,0,,1,1,1,,,
,14,11,,,,11,,0,,12,7,0,,,
,701315,584159,,,,276603,,156248,,209347,126442,18245,,,
,,,,,,,,,,,,,,,
New Zealand 1999,,,,,,,,,,,,,,,
,1,1,,,1,1,,1,,1,1,1,,,
,22,41,,,1,1,,0,,1,0,1,,,
,17,8,,,6,4,,0,,9,9,0,,,
,629932,800199,,,106560,87926,,124460,,159859,159493,11065,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
New Zealand 2002,,,,,,,,,,,,,,,
,1,1,,,1,1,,1,,,1,,1,1,
,21,45,,,0,1,,0,,,0,,1,1,
,6,7,,,9,12,,0,,,9,,7,1,
,425310,838219,,,142250,210912,,99388,,,145078,,135918,34542,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
New Zealand 2005,,,,,,,,,,,,,,,
,1,1,,,1,1,,1,,,1,,1,1,1
,31,31,,,0,0,,0,,,1,,1,1,4
,17,19,,,6,5,,0,,,1,,2,0,0
,889813,935319,,,120521,130115,,29828,,,34469,,60860,26441,48263
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
New Zealand 2008,,,,,,,,,,,,,,,
,1,1,,,1,,,1,,,1,,1,1,1
,41,21,,,0,,,0,,,1,,1,1,5
,17,22,,,9,,,0,,,4,,0,0,0
,1053398,796880,,,157613,,,153461,,,85496,,20497,21241,55980
